Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Platform2,Social_Media_Platform3,Social_Media_Platform4,Social_Media_Platform5,Social_Media_Activities1,Social_Media_Activities2,Social_Media_Activities3,Social_Media_Activities4,Social_Media_Activities5,Social_Media_Activities6,Social_Media_Activities7,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Type2,Previous_Criminal_Activity_Type3,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing
4845,District of Columbia,Washington,,,3/1/54,2,,,2,-99,0,2,-88,5,1,10,2,4,5,2,-88,,,-99,-99,,,-99,-99,-99,-99,1,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,12,,,Puerto Rico,-99,,,-99,1,-99,10,5,1,-99,8,,,,-99,-99,1,-99,-99,1,54,-99,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,-99,0,-88,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,-99,-99
3158,Massachusetts,Brookline,,,1/2/55,5,,,2,-99,-99,1,-88,5,1,10,2,4,4,0,-88,,,0,-88,,,0,-88,-88,-88,0,-88,-88,-88,0,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,15,,,New Hampshire,Hampton,,,-99,0,-99,10,-99,0,0,0,,,,-99,-99,-99,-99,-99,-99,22,1,0,-88,2,8,0,-88,-99,-99,United States of America,1,United States of America,264,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,0,0,-99,-99,-99,0,0,-88,,,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,1,-99
5558,Illinois,Chicago,,,1/27/55,-88,,,-88,-88,-88,-88,-88,0,0,3,2,4,6,1,-88,,,-99,-99,,,1,-99,3,288,-99,-99,-99,-88,1,-88,-88,-88,,,,,-88,,,,,,,0,0,1,0,9,,,Arkansas,Lake Village,Illinois,Chicago,1,1,3,5,5,0,0,8,,,,1,1,3,0,-88,2,45,2,1,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,540,0,-88,-88,-88,2,0,-88,1,-99,4,6,0,-99,2,2,0,0,-88,,,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,-99,-99,-99
4771,Michigan,Detroit,,,4/29/57,-88,,,-88,-88,-88,-88,-88,0,0,4,2,4,6,1,-88,,,-99,-99,,,1,0,3,480,0,-88,-88,-88,1,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,18,,,Michigan,-99,,,1,0,3,5,5,-99,-99,-99,,,,1,1,1,1,1,2,59,2,2,-99,2,15,1,7/4/30,0,-88,United States of America,1,United States of America,708,0,-88,-88,-88,1,0,-88,1,-99,4,0,0,1,1,-99,0,0,-88,,,0,0,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,3,,,-99,1,20,,,4,0,-88,-99,0,1,2,-99
4464,South Carolina,Greensville,,,1/15/58,14,,,0,-99,0,0,-88,5,1,10,2,4,-99,3,Ku Klux Klan,,,-99,-99,,,-99,-99,3,-99,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,South Carolina,-99,,,-99,0,-99,10,5,1,-99,-99,,,,-99,-99,-99,-99,2,3,30,-99,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,360,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,1,-99,-99,1,2,3,-99,-99,-99,-99,-99,5,,,-99,3,1,,,2,0,-88,-99,0,1,3,-99
3818,Virginia,Arlington,Louisiana,Baton Rouge,1/1/59,-88,,,-88,-88,-88,-88,-88,0,0,4,1,4,9,1,-88,,,0,-88,,,2,1,3,96,0,-88,-88,-88,1,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Virginia,-99,,,1,1,3,5,5,1,0,8,,,,1,2,1,-99,-99,3,32,3,3,-99,2,15,0,-88,-99,-99,United States of America,1,United States of America,384,0,-88,-88,-88,5,0,-88,-99,-99,3,3,0,3,1,2,0,0,-88,,,2,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,6,,,0,0,-88,,,-88,0,-88,-99,0,1,-99,-99
4526,New York,New York,,,1/1/61,14,,,1,-99,0,1,-88,3,0,9,-88,-88,1,3,Weather Underground,,,1,-99,,,1,1,2,96,1,0,1,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,1,0,7,,,New York,New York,,,1,0,2,9,5,1,0,2,,,,1,2,1,0,-88,3,20,2,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,240,0,-88,-88,-88,4,1,-99,-99,-99,-99,0,0,2,-99,-99,0,0,-88,,,0,0,2,0,1,-99,4,1,-99,-99,-99,0,0,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,-99,-99
5613,North Carolina,Monroe,,,1/1/61,-88,,,-88,-88,-88,-88,-88,0,1,10,2,3,6,2,-88,,,-99,-99,,,-99,-99,3,48,0,-88,-88,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,1,0,8,9,,North Carolina,Monroe,,,1,0,3,10,5,-99,-99,-99,,,,1,1,1,-99,-88,2,36,2,2,-99,2,11,0,-88,-99,-99,United States of America,1,United States of America,432,0,-88,-88,-88,4,0,-88,-99,-99,-99,4,0,1,2,0,1,0,3,,,0,0,-99,0,2,-99,-99,-99,-99,-99,2,-99,1,0,0,0,-99,,,-99,0,-88,,,-88,0,-88,2,0,1,3,1
4697,New York,-99,,,1/1/63,-99,,,-99,-99,-99,-99,-88,4,1,7,2,2,1,2,-88,,,1,3,,,1,-99,3,-99,0,-88,-88,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,1,0,8,,,New York,-99,,,-99,0,-99,10,5,-99,0,0,,,,1,1,3,0,-88,2,22,-99,-99,-99,2,-99,0,-88,0,-88,United States of America,1,United States of America,-99,0,-88,-88,-88,-99,0,-88,-99,-99,-99,0,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,1,2,3,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,-99,-99
4759,Alabama,Birmingham,,,1/1/63,15,,,2,-99,-99,-99,-88,5,1,10,2,4,-99,3,National States' Rights Party,Ku Klux Klan,,-99,-99,,,-99,-99,3,-99,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Alabama,-99,,,-99,0,-99,10,5,-99,-99,-99,,,,-99,-99,-99,-99,-88,3,60,-99,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,720,0,-88,-88,-88,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,0,0,-88,,,0,0,3,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,0,-99,,,-99,0,-88,,,-88,0,-88,-99,0,-99,-99,-99
5030,Mississippi,-99,,,1/1/63,7,14,,1,1,0,-99,-88,3,1,7,2,4,4,3,Ku Klux Klan,,,-99,-99,,,-99,-99,2,-99,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Mississippi,-99,,,-99,0,-99,10,5,-99,-99,8,,,,-99,-99,-99,0,-88,3,19,-99,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,228,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,0,0,2,-99,-99,0,0,-88,,,0,0,-99,-99,2,2,2,3,1,2,3,3,-99,-99,-99,0,-99,,,-99,0,-88,,,-88,0,-88,-99,0,-99,3,-99
5222,Alabama,Birmingham,,,1/1/63,15,,,2,-99,0,3,-88,5,1,10,2,4,4,3,Ku Klux Klan,,,-99,-99,,,-99,-99,-99,-99,0,-88,-88,-88,0,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Alabama,Birmingham,,,0,0,-99,10,5,0,0,0,,,,1,1,1,-99,-88,3,24,1,0,-88,2,-99,0,-88,0,-88,United States of America,1,United States of America,288,0,-88,-88,-88,-99,0,-88,-99,-99,-99,0,0,-99,-99,0,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,5,,,0,0,-88,,,-88,0,-88,0,0,0,1,0
3181,Alabama,Birmingham,,,9/15/63,14,15,,-99,-99,-99,2,0,5,1,10,-99,-99,-99,3,Ku Klux Klan,,,-99,-99,,,-99,-99,3,-99,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,South Carolina,Orangeburg,,,-99,0,-99,10,-99,-99,-99,-99,,,,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,2,11,0,-88,-99,-99,United States of America,1,United States of America,-99,0,-88,-88,-88,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,-99,-99,-99
5223,Alabama,Birmingham,,,9/15/63,15,,,1,-99,0,1,-88,5,1,10,2,2,6,3,Ku Klux Klan,,,-99,-99,,,-99,-99,2,-99,1,0,0,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Alabama,Birmingham,,,1,0,-99,10,5,1,0,-99,,,,-99,-99,2,-99,-88,3,33,2,7,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,396,0,-88,-88,-88,-99,0,-88,1,-99,3,1,0,-99,2,-99,0,0,-88,,,1,0,-99,0,-99,-99,-99,-99,1,2,3,-99,-99,1,-99,0,6,3,,-99,3,1,4,20,3,0,-88,-99,0,1,3,-99
